Expr Log Ratio,ID,Symbol,Entrez Gene Name,Location
0,1700003I22Rik,1700003I22Rik,RIKEN cDNA 1700003I22 gene,Other
0,1700003L19Rik,1700003L19Rik,RIKEN cDNA 1700003L19 gene,Other
∞,1700003M07Rik,1700003M07Rik,RIKEN cDNA 1700003M07 gene,Other
0,1700003P14Rik,1700003P14Rik,RIKEN cDNA 1700003P14 gene,Other
0,1700006A11Rik,1700006A11Rik,RIKEN cDNA 1700006A11 gene,Other
0,1700006F04Rik,1700006F04Rik,RIKEN cDNA 1700006F04 gene,Other
0,1700006H21Rik,1700006H21Rik,RIKEN cDNA 1700006H21 gene,Other
0,1700007F19Rik,1700007F19Rik,RIKEN cDNA 1700007F19 gene,Other
0.274,1700007J10Rik,1700007J10Rik,RIKEN cDNA 1700007J10 gene,Other
0,1700007K09Rik,1700007K09Rik,RIKEN cDNA 1700007K09 gene,Other
0,1700007L15Rik,1700007L15Rik,RIKEN cDNA 1700007L15 gene,Other
0,1700007P06Rik,1700007P06Rik,RIKEN cDNA 1700007P06 gene,Other
0,1700008C04Rik,1700008C04Rik,RIKEN cDNA 1700008C04 gene,Other
-∞,1700008J07Rik,1700008J07Rik,RIKEN cDNA 1700008J07 gene,Other
0,1700008K24Rik,1700008K24Rik,RIKEN cDNA 1700008K24 gene,Other
0,1700008P02Rik,1700008P02Rik,RIKEN cDNA 1700008P02 gene,Other
0,1700009C05Rik,1700009C05Rik,RIKEN cDNA 1700009C05 gene,Other
0,1700009J07Rik,1700009J07Rik,RIKEN cDNA 1700009J07 gene,Other
0,1700009N14Rik,1700009N14Rik,RIKEN cDNA 1700009N14 gene,Other
0,1700010B08Rik,1700010B08Rik,RIKEN cDNA 1700010B08 gene,Other
0,1700010D01Rik,1700010D01Rik/Gm5941,predicted gene 5941,Other
0,Gm5941,1700010D01Rik/Gm5941,predicted gene 5941,Other
0,1700010I02Rik,1700010I02Rik,RIKEN cDNA 1700010I02 gene,Other
0,1700010J16Rik,1700010J16Rik,RIKEN cDNA 1700010J16 gene,Other
0,1700010K23Rik,1700010K23Rik,RIKEN cDNA 1700010K23 gene,Other
0,1700011B04Rik,1700011B04Rik,RIKEN cDNA 1700011B04 gene,Other
0,1700011C11Rik,1700011C11Rik,RIKEN cDNA 1700011C11 gene,Other
0,1700011I03Rik,1700011I03Rik,RIKEN cDNA 1700011I03 gene,Other
0,1700011M02Rik,1700011M02Rik,RIKEN cDNA 1700011M02 gene,Other
0,1700012A03Rik,1700012A03Rik,RIKEN cDNA 1700012A03 gene,Other
0,1700012B07Rik,1700012B07Rik,RIKEN cDNA 1700012B07 gene,Other
0,1700012C14Rik,1700012C14Rik,RIKEN cDNA 1700012C14 gene,Other
0,1700012D01Rik,1700012D01Rik,RIKEN cDNA 1700012D01 gene,Other
0,1700012D14Rik,1700012D14Rik,RIKEN cDNA 1700012D14 gene,Other
0,1700012D16Rik,1700012D16Rik,RIKEN cDNA 1700012D16 gene,Other
0,1700012H19Rik,1700012H19Rik,RIKEN cDNA 1700012H19 gene,Other
0,1700012I11Rik,1700012I11Rik,RIKEN cDNA 1700012I11 gene,Other
0,1700013D24Rik,1700013D24Rik,RIKEN cDNA 1700013D24 gene,Other
0,1700013G24Rik,1700013G24Rik,RIKEN cDNA 1700013G24 gene,Other
0,1700013H16Rik,1700013H16Rik,RIKEN cDNA 1700013H16 gene,Nucleus
0,1700015G11Rik,1700015G11Rik,RIKEN cDNA 1700015G11 gene,Other
0,1700016D06Rik,1700016D06Rik,RIKEN cDNA 1700016D06 gene,Other
0,1700016G22Rik,1700016G22Rik,RIKEN cDNA 1700016G22 gene,Other
0,1700016L04Rik,1700016L04Rik,RIKEN cDNA 1700016L04 gene,Other
0,1700016L21Rik,1700016L21Rik,RIKEN cDNA 1700016L21 gene,Other
0,1700016P04Rik,1700016P04Rik,RIKEN cDNA 1700016P04 gene,Other
0,1700017D01Rik,1700017D01Rik,RIKEN cDNA 1700017D01 gene,Other
0,1700017G19Rik,1700017G19Rik,RIKEN cDNA 1700017G19 gene,Other
0,1700017J07Rik,1700017J07Rik,RIKEN cDNA 1700017J07 gene,Other
0,1700017L05Rik,1700017L05Rik,RIKEN cDNA 1700017L05 gene,Other
0,1700018A04Rik,1700018A04Rik,RIKEN cDNA 1700018A04 gene,Other
0,1700018B24Rik,1700018B24Rik,enhancer of rudimentary homolog pseudogene,Other
0,1700018G05Rik,1700018G05Rik,RIKEN cDNA 1700018G05 gene,Other
0.274,1700018L02Rik,1700018L02Rik,RIKEN cDNA 1700018L02 gene,Other
0,1700019A02Rik,1700019A02Rik,RIKEN cDNA 1700019A02 gene,Other
0,1700019B21Rik,1700019B21Rik,RIKEN cDNA 1700019B21 gene,Other
0,1700019C18Rik,1700019C18Rik,RIKEN cDNA 1700019C18 gene,Other
0,1700019E08Rik,1700019E08Rik,RIKEN cDNA 1700019E08 gene,Other
0,1700019G24Rik,1700019G24Rik,RIKEN cDNA 1700019G24 gene,Other
0,1700020D05Rik,1700020D05Rik,RIKEN cDNA 1700020D05 gene,Other
0,1700020G17Rik,1700020G17Rik,RIKEN cDNA 1700020G17 gene,Other
1.79,1700020I14Rik,1700020I14Rik,RIKEN cDNA 1700020I14 gene,Other
0,1700020M21Rik,1700020M21Rik,RIKEN cDNA 1700020M21 gene,Other
0,1700020N01Rik,1700020N01Rik,RIKEN cDNA 1700020N01 gene,Other
0,1700020N15Rik,1700020N15Rik/Gm6812,RIKEN cDNA 1700020N15 gene,Other
0,Gm6812,1700020N15Rik/Gm6812,RIKEN cDNA 1700020N15 gene,Other
0,1700020N18Rik,1700020N18Rik,RIKEN cDNA 1700020N18 gene,Other
0,1700021N21Rik,1700021N21Rik,RIKEN cDNA 1700021N21 gene,Other
0,1700022A21Rik,1700022A21Rik,glycerol-3-phosphate dehydrogenase 1-like pseudogene,Other
0,1700022A22Rik,1700022A22Rik,RIKEN cDNA 1700022A22 gene,Other
0,1700022E09Rik,1700022E09Rik,RIKEN cDNA 1700022E09 gene,Other
0,1700022H01Rik,1700022H01Rik,RIKEN cDNA 1700022H01 gene,Other
0,1700022H16Rik,1700022H16Rik,RIKEN cDNA 1700022H16 gene,Other
0,1700023C21Rik,1700023C21Rik,RIKEN cDNA 1700023C21 gene,Other
0,1700023F02Rik,1700023F02Rik,RIKEN cDNA 1700023F02 gene,Other
0,1700023F06Rik,1700023F06Rik,RIKEN cDNA 1700023F06 gene,Other
0,1700024B18Rik,1700024B18Rik,RIKEN cDNA 1700024B18 gene,Other
0,1700024F13Rik,1700024F13Rik,RIKEN cDNA 1700024F13 gene,Other
0,1700024I08Rik,1700024I08Rik,RIKEN cDNA 1700024I08 gene,Other
0,1700024N05Rik,1700024N05Rik,RIKEN cDNA 1700024N05 gene,Other
0,1700024P04Rik,1700024P04Rik,RIKEN cDNA 1700024P04 gene,Nucleus
0,1700025B11Rik,1700025B11Rik,RIKEN cDNA 1700025B11 gene,Other
0,1700025C18Rik,1700025C18Rik,RIKEN cDNA 1700025C18 gene,Other
0,1700025F22Rik,1700025F22Rik,RIKEN cDNA 1700025F22 gene,Other
0,1700025F24Rik,1700025F24Rik,RIKEN cDNA 1700025F24 gene,Other
0,1700025J12Rik,1700025J12Rik,RIKEN cDNA 1700025J12 gene,Other
0,1700025K24Rik,1700025K24Rik,RIKEN cDNA 1700025K24 gene,Other
0,1700025M24Rik,1700025M24Rik,RIKEN cDNA 1700025M24 gene,Other
0,1700025N23Rik,1700025N23Rik,RIKEN cDNA 1700025N23 gene,Other
0,1700026D11Rik,1700026D11Rik,RIKEN cDNA 1700026D11 gene,Other
0,1700026F02Rik,1700026F02Rik,RIKEN cDNA 1700026F02 gene,Other
0,1700026J14Rik,1700026J14Rik,RIKEN cDNA 1700026J14 gene,Other
0,1700027A15Rik,1700027A15Rik,RIKEN cDNA 1700027A15 gene,Other
0,1700027F06Rik,1700027F06Rik,RIKEN cDNA 1700027F06 gene,Other
0,1700027F09Rik,1700027F09Rik,RIKEN cDNA 1700027F09 gene,Other
0,1700027H10Rik,1700027H10Rik,RIKEN cDNA 1700027H10 gene,Other
0,1700027I24Rik,1700027I24Rik,RIKEN cDNA 1700027I24 gene,Other
0,1700027J07Rik,1700027J07Rik,RIKEN cDNA 1700027J07 gene,Other
0,1700028B04Rik,1700028B04Rik,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene,Other
0,1700028D13Rik,1700028D13Rik,RIKEN cDNA 1700028D13 gene,Other
0,1700028E10Rik,1700028E10Rik,RIKEN cDNA 1700028E10 gene,Other
0,1700028I16Rik,1700028I16Rik,RIKEN cDNA 1700028I16 gene,Other
-∞,1700028J19Rik,1700028J19Rik,RIKEN cDNA 1700028J19 gene,Other
0,1700028M03Rik,1700028M03Rik,RIKEN cDNA 1700028M03 gene,Other
0,1700028P15Rik,1700028P15Rik,RIKEN cDNA 1700028P15 gene,Other
0,1700029B22Rik,1700029B22Rik,RIKEN cDNA 1700029B22 gene,Other
0,1700029F12Rik,1700029F12Rik,RIKEN cDNA 1700029F12 gene,Other
0,1700029H14Rik,1700029H14Rik,RIKEN cDNA 1700029H14 gene,Other
0,1700029J03Rik,1700029J03Rik,RIKEN cDNA 1700029J03 gene,Other
0,1700029M20Rik,1700029M20Rik,RIKEN cDNA 1700029M20 gene,Other
0,1700029N11Rik,1700029N11Rik,RIKEN cDNA 1700029N11 gene,Other
0,1700029P11Rik,1700029P11Rik,RIKEN cDNA 1700029P11 gene,Extracellular Space
0,1700030A11Rik,1700030A11Rik,RIKEN cDNA 1700030A11 gene,Other
0,1700030C10Rik,1700030C10Rik,RIKEN cDNA 1700030C10 gene,Other
0,1700030F04Rik,1700030F04Rik,RIKEN cDNA 1700030F04 gene,Other
0,1700030F18Rik,1700030F18Rik,RIKEN cDNA 1700030F18 gene,Other
0,1700030L20Rik,1700030L20Rik,RIKEN cDNA 1700030L20 gene,Other
0,1700030M09Rik,1700030M09Rik,RIKEN cDNA 1700030M09 gene,Other
0,1700030N03Rik,1700030N03Rik,RIKEN cDNA 1700030N03 gene,Other
0,1700030O20Rik,1700030O20Rik,RIKEN cDNA 1700030O20 gene,Other
0,1700031A10Rik,1700031A10Rik,RIKEN cDNA 1700031A10 gene,Other
0,1700031F05Rik,1700031F05Rik,RIKEN cDNA 1700031F05 gene,Other
0,1700031M16Rik,1700031M16Rik,RIKEN cDNA 1700031M16 gene,Other
0,1700031P21Rik,1700031P21Rik,RIKEN cDNA 1700031P21 gene,Other
0,1700034G24Rik,1700034G24Rik,RIKEN cDNA 1700034G24 gene,Other
0,1700034H15Rik,1700034H15Rik,RIKEN cDNA 1700034H15 gene,Other
0,1700034I23Rik,1700034I23Rik/Gm10731,FUN14 domain containing 2 pseudogene,Cytoplasm
0,Gm10731,1700034I23Rik/Gm10731,FUN14 domain containing 2 pseudogene,Cytoplasm
0,1700034K08Rik,1700034K08Rik,RIKEN cDNA 1700034K08 gene,Other
0.274,1700034P13Rik,1700034P13Rik,RIKEN cDNA 1700034P13 gene,Other
0,1700036G14Rik,1700036G14Rik,RIKEN cDNA 1700036G14 gene,Other
0,1700039E22Rik,1700039E22Rik,RIKEN cDNA 1700039E22 gene,Other
0,1700041A01Rik,1700041A01Rik,RIKEN cDNA 1700041A01 gene,Other
0,1700041C23Rik,1700041C23Rik,RIKEN cDNA 1700041C23 gene,Other
0,1700041M19Rik,1700041M19Rik,RIKEN cDNA 1700041M19 gene,Other
0,1700042G07Rik,1700042G07Rik,RIKEN cDNA 1700042G07 gene,Other
0,1700042G15Rik,1700042G15Rik,RIKEN cDNA 1700042G15 gene,Other
0,1700042O10Rik,1700042O10Rik,RIKEN cDNA 1700042O10 gene,Other
0,1700044C05Rik,1700044C05Rik,RIKEN cDNA 1700044C05 gene,Other
0,1700044K03Rik,1700044K03Rik,RIKEN cDNA 1700044K03 gene,Other
0,1700045H11Rik,1700045H11Rik,RIKEN cDNA 1700045H11 gene,Other
0,1700046C09Rik,1700046C09Rik,RIKEN cDNA 1700046C09 gene,Other
0,1700047A11Rik,1700047A11Rik,RIKEN cDNA 1700047A11 gene,Other
0,1700047E10Rik,1700047E10Rik,RIKEN cDNA 1700047E10 gene,Other
0,1700047G03Rik,1700047G03Rik,RIKEN cDNA 1700047G03 gene,Other
0,1700047I17Rik2,1700047I17Rik2/Fam177a,"family with sequence similarity 177, member A",Other
0,Fam177a,1700047I17Rik2/Fam177a,"family with sequence similarity 177, member A",Other
0,1700047L14Rik,1700047L14Rik,RIKEN cDNA 1700047L14 gene,Other
0,1700047M11Rik,1700047M11Rik,RIKEN cDNA 1700047M11 gene,Other
0,1700048M11Rik,1700048M11Rik,RIKEN cDNA 1700048M11 gene,Other
0,1700048O20Rik,1700048O20Rik,RIKEN cDNA 1700048O20 gene,Other
0,1700049E15Rik,1700049E15Rik,RIKEN cDNA 1700049E15 gene,Other
0,1700049E22Rik,1700049E22Rik,RIKEN cDNA 1700049E22 gene,Other
0,1700049L16Rik,1700049L16Rik,hematological and neurological expressed 1-like pseudogene,Other
0,1700051A21Rik,1700051A21Rik,RIKEN cDNA 1700051A21 gene,Other
0,1700052I22Rik,1700052I22Rik,RIKEN cDNA 1700052I22 gene,Other
-0.726,1700052K11Rik,1700052K11Rik,RIKEN cDNA 1700052K11 gene,Other
0,1700054A03Rik,1700054A03Rik,RIKEN cDNA 1700054A03 gene,Other
0,1700054K19Rik,1700054K19Rik,RIKEN cDNA 1700054K19 gene,Other
0,1700054M17Rik,1700054M17Rik,RIKEN cDNA 1700054M17 gene,Other
0,1700055C04Rik,1700055C04Rik,RIKEN cDNA 1700055C04 gene,Other
0,1700056E22Rik,1700056E22Rik,RIKEN cDNA 1700056E22 gene,Other
0,1700057G04Rik,1700057G04Rik,RIKEN cDNA 1700057G04 gene,Other
0,1700057H15Rik,1700057H15Rik,RIKEN cDNA 1700057H15 gene,Other
0,1700057H21Rik,1700057H21Rik,RIKEN cDNA 1700057H21 gene,Other
0,1700060C16Rik,1700060C16Rik,RIKEN cDNA 1700060C16 gene,Other
0,1700060C20Rik,1700060C20Rik,RIKEN cDNA 1700060C20 gene,Other
0,1700061F12Rik,1700061F12Rik,RIKEN cDNA 1700061F12 gene,Other
0,1700061G19Rik,1700061G19Rik,RIKEN cDNA 1700061G19 gene,Other
0,1700061I17Rik,1700061I17Rik,RIKEN cDNA 1700061I17 gene,Other
0,1700061J23Rik,1700061J23Rik,RIKEN cDNA 1700061J23 gene,Other
0,1700063A18Rik,1700063A18Rik,RIKEN cDNA 1700063A18 gene,Other
-∞,1700063D05Rik,1700063D05Rik,RIKEN cDNA 1700063D05 gene,Other
0,1700063O14Rik,1700063O14Rik,RIKEN cDNA 1700063O14 gene,Other
0,1700064J06Rik,1700064J06Rik,RIKEN cDNA 1700064J06 gene,Other
0,1700064M15Rik,1700064M15Rik,RIKEN cDNA 1700064M15 gene,Other
0,1700065D16Rik,1700065D16Rik,RIKEN cDNA 1700065D16 gene,Other
0,1700065I16Rik,1700065I16Rik,gasdermin pseudogene,Other
0,1700065J11Rik,1700065J11Rik,RIKEN cDNA 1700065J11 gene,Other
0,1700065J18Rik,1700065J18Rik,RIKEN cDNA 1700065J18 gene,Other
0,1700065L07Rik,1700065L07Rik,RIKEN cDNA 1700065L07 gene,Other
0,1700065O20Rik,1700065O20Rik,RIKEN cDNA 1700065O20 gene,Other
0,1700066B17Rik,1700066B17Rik,RIKEN cDNA 1700066B17 gene,Other
0,1700066B19Rik,1700066B19Rik,RIKEN cDNA 1700066B19 gene,Other
0,1700066J03Rik,1700066J03Rik,RIKEN cDNA 1700066J03 gene,Other
0,1700066N21Rik,1700066N21Rik,RIKEN cDNA 1700066N21 gene,Other
0,1700066O22Rik,1700066O22Rik,RIKEN cDNA 1700066O22 gene,Other
0,1700067G17Rik,1700067G17Rik,RIKEN cDNA 1700067G17 gene,Other
0,1700067P10Rik,1700067P10Rik,RIKEN cDNA 1700067P10 gene,Other
0,1700069L16Rik,1700069L16Rik,RIKEN cDNA 1700069L16 gene,Other
0,1700069P05Rik,1700069P05Rik,RIKEN cDNA 1700069P05 gene,Other
0,1700071K01Rik,1700071K01Rik,RIKEN cDNA 1700071K01 gene,Other
0,1700071M16Rik,1700071M16Rik,RIKEN cDNA 1700071M16 gene,Other
0,1700072B07Rik,1700072B07Rik,RIKEN cDNA 1700072B07 gene,Other
0,1700072I22Rik,1700072I22Rik,RIKEN cDNA 1700072I22 gene,Other
0,1700072O05Rik,1700072O05Rik,RIKEN cDNA 1700072O05 gene,Other
0,1700073E17Rik,1700073E17Rik,ribosomal protein L7 pseudogene,Other
0,1700074H08Rik,1700074H08Rik,RIKEN cDNA 1700074H08 gene,Other
0,1700074P13Rik,1700074P13Rik,RIKEN cDNA 1700074P13 gene,Extracellular Space
0,1700080E11Rik,1700080E11Rik,RIKEN cDNA 1700080E11 gene,Other
0,1700080N15Rik,1700080N15Rik,RIKEN cDNA 1700080N15 gene,Other
0,1700080O16Rik,1700080O16Rik,RIKEN cDNA 1700080O16 gene,Other
0,1700081H04Rik,1700081H04Rik,RIKEN cDNA 1700081H04 gene,Other
0,1700084D21Rik,1700084D21Rik,RIKEN cDNA 1700084D21 gene,Other
0,1700084E18Rik,1700084E18Rik,RIKEN cDNA 1700084E18 gene,Other
0,1700084F23Rik,1700084F23Rik,RIKEN cDNA 1700084F23 gene,Other
0,1700084J12Rik,1700084J12Rik,ribosomal protein L7-like 1 pseudogene,Other
0,1700084M14Rik,1700084M14Rik,Gm5941 pseudogene,Other
0,1700085C21Rik,1700085C21Rik,RIKEN cDNA 1700085C21 gene,Other
0,1700086L19Rik,1700086L19Rik,RIKEN cDNA 1700086L19 gene,Other
1.137,1700086O06Rik,1700086O06Rik,RIKEN cDNA 1700086O06 gene,Other
0,1700091H14Rik,1700091H14Rik,RIKEN cDNA 1700091H14 gene,Other
0,1700092C02Rik,1700092C02Rik,RIKEN cDNA 1700092C02 gene,Other
0,1700092C10Rik,1700092C10Rik,RIKEN cDNA 1700092C10 gene,Other
0,1700092E19Rik,1700092E19Rik,RIKEN cDNA 1700092E19 gene,Other
0,1700092K14Rik,1700092K14Rik,RIKEN cDNA 1700092K14 gene,Other
0,1700092M07Rik,1700092M07Rik,RIKEN cDNA 1700092M07 gene,Other
-∞,1700094J05Rik,1700094J05Rik,RIKEN cDNA 1700094J05 gene,Other
0,1700094M24Rik,1700094M24Rik,RIKEN cDNA 1700094M24 gene,Other
0,1700095A21Rik,1700095A21Rik,RIKEN cDNA 1700095A21 gene,Other
0,1700095B10Rik,1700095B10Rik,RIKEN cDNA 1700095B10 gene,Other
0,1700095J12Rik,1700095J12Rik,RIKEN cDNA 1700095J12 gene,Other
0,1700096J18Rik,1700096J18Rik,RIKEN cDNA 1700096J18 gene,Other
∞,1700096K18Rik,1700096K18Rik,RIKEN cDNA 1700096K18 gene,Other
0,1700096P03Rik,1700096P03Rik,RIKEN cDNA 1700096P03 gene,Other
0,1700097N02Rik,1700097N02Rik,RIKEN cDNA 1700097N02 gene,Other
0,1700099I09Rik,1700099I09Rik,RIKEN cDNA 1700099I09 gene,Other
0,1700100I10Rik,1700100I10Rik,RIKEN cDNA 1700100I10 gene,Other
0,1700100L14Rik,1700100L14Rik,RIKEN cDNA 1700100L14 gene,Other
0,1700101I11Rik,1700101I11Rik,RIKEN cDNA 1700101I11 gene,Other
0,1700101O22Rik,1700101O22Rik,RIKEN cDNA 1700101O22 gene,Other
0,1700102H20Rik,1700102H20Rik,RIKEN cDNA 1700102H20 gene,Other
0,1700104L18Rik,1700104L18Rik,RIKEN cDNA 1700104L18 gene,Other
0,1700105P06Rik,1700105P06Rik,RIKEN cDNA 1700105P06 gene,Other
0,1700108F19Rik,1700108F19Rik,RIKEN cDNA 1700108F19 gene,Other
0,1700108J01Rik,1700108J01Rik,RIKEN cDNA 1700108J01 gene,Other
0,1700109G14Rik,1700109G14Rik,RIKEN cDNA 1700109G14 gene,Other
0,1700109G15Rik,1700109G15Rik,RIKEN cDNA 1700109G15 gene,Other
0,1700109H08Rik,1700109H08Rik,RIKEN cDNA 1700109H08 gene,Other
0,1700109I08Rik,1700109I08Rik,RIKEN cDNA 1700109I08 gene,Other
0,1700109K24Rik,1700109K24Rik,RIKEN cDNA 1700109K24 gene,Other
0,1700110C19Rik,1700110C19Rik,RIKEN cDNA 1700110C19 gene,Other
0,1700110I01Rik,1700110I01Rik,RIKEN cDNA 1700110I01 gene,Other
0,1700110I07Rik,1700110I07Rik,RIKEN cDNA 1700110I07 gene,Other
0,1700110K17Rik,1700110K17Rik,RIKEN cDNA 1700110K17 gene,Other
0,1700111N16Rik,1700111N16Rik,RIKEN cDNA 1700111N16 gene,Other
0,1700112H15Rik,1700112H15Rik,RIKEN cDNA 1700112H15 gene,Other
0,1700112J05Rik,1700112J05Rik,RIKEN cDNA 1700112J05 gene,Other
0,1700112J16Rik,1700112J16Rik,RIKEN cDNA 1700112J16 gene,Other
